"term","description","category","English","Japanese","Russian","French","German","Spanish","Portuguese (Brazil)","Chinese (Simplified)","Chinese (Traditional)","Korean","PolskI","Output Localization"
"Conversation_NPC/Fox/Meeting1/1","Speaking: The Night","100","Does your Cult flourish?","おまえの教団は大きくなったか？","Счастливы ли твои последователи?","Comment se porte ton culte ?","Gedeiht dein Kult?","¿Tu secta sigue creciendo?","Seu Culto está indo bem?","你的教会兴旺吗？","你的教會興旺嗎？","네 교단은 번영 중이니?","Czy twój Kult się rozwija?","""Conversation_NPC/Fox/Meeting1/1"", """""
"Conversation_NPC/Fox/Meeting1/2","Speaking: The Night","100","Are they devoted? Are they strong?","信者たちは信心深いか？ 力ある信者たちが集まったか？","Преданны ли они тебе? Сильны ли они?","Tes adeptes te sont-ils entièrement dévoués ? Sont-ils puissants ?","Sind sie ergeben? Sind sie stark?","¿Son devotos tus adeptos? ¿Y fuertes?","Seus fiéis são devotos? E fortes?","教徒虔诚吗？强大吗？","教徒虔誠嗎？強大嗎？","교단원들은 충성을 다하고 있니? 그들은 강하니?","Czy są oddani? Czy są silni?","""Conversation_NPC/Fox/Meeting1/2"", """""
"Conversation_NPC/Fox/Meeting1/3","Speaking: The Night","100","Well, you know what they say. The best thing a Follower can do… is follow.","まあ、おまえなら真理を理解しているだろう？ 信者にできる最上の行為、それは…従うことだ。","Ты же понимаешь, к чему я клоню. Последователь должен… следовать.","N'en attends pas trop de leur part. Les adeptes ne sont pas bons à grand-chose.","Nun, du weißt, was sie sagen. Das Beste, was ein Anhänger tun kann … ist zu folgen.","Bueno, ya sabes lo que se dice... Lo mejor que puede hacer un seguidor es... seguir.","Bem, sabe como dizem. A melhor coisa que um Seguidor pode fazer... é seguir.","嗯，你知道大家是怎么说的。追随者能做的最多就是……追随。","嗯，你知道大家是怎麼說的。追隨者能做的最多就是……追隨。","이런 말을 들어봤을 거야. 추종자들이 가장 잘하는 건... 따르는 거라고 말이야.","Cóż, jak to mówią. Najlepsze, co może zrobić Wyznawca… to podążać.","""Conversation_NPC/Fox/Meeting1/3"", """""
"Conversation_NPC/Fox/Meeting1/4","Speaking: The Night","100","Say, how about another deal? I’m afraid the hunting tonight is sparse. Too many predators, not enough prey.","それで、また取引をするかい？ 今夜は狩りの成果があまりよくなくてね。捕食者に対して餌が少なすぎる。","Кстати, не хочешь заключить ещё одну сделку? В лесах сегодня ничем не поживишься. Слишком много хищников, слишком мало дичи.","Et si nous passions un nouveau marché ? La chasse n'est pas bonne ce soir. Il y a trop de prédateurs, et pas assez de proies.","Sag, was hältst du von einem weiteren Geschäft? Ich fürchte, die Jagd hat heute spärlichen Ertrag gebracht. Zu viele Jäger und zu wenig Beute.","Oye, ¿hacemos otro trato? Me temo que la caza no está siendo muy fructífera esta noche... Demasiados depredadores y pocas presas.","Então, que tal outro acordo? Temo que a caça esta noite esteja pobre. Muitos predadores, e tão poucas presas.","不如，再谈个交易如何？今晚打猎的成果恐怕不够看。猎手太多，猎物不够。","不如，再談一筆交易如何？今晚打獵的成果恐怕相當稀少。獵食者太多，獵物太少。","자, 다른 거래 한 번 더 해보지 않겠어? 오늘밤은 사냥감이 좀 적을 거 같거든.","Powiedz, co powiesz na kolejną umowę? Obawiam się, że dziś polowanie jest słabe. Za dużo drapieżników, za mało ofiar.","""Conversation_NPC/Fox/Meeting1/4"", """""
"Conversation_NPC/Fox/Meeting1/5","Speaking: The Night
  Asks player to bring them the Heart of a Heretic (item)","100","If you give to me one of your loyal Followers, I will give you something in return. Do you agree?","おまえの忠実な信者、その1人を差し出してくれたら、お礼を渡そうじゃないか。どうだい？","Пожертвуй мне одного из своих последователей, а я дам тебе взамен что-нибудь ценное. По рукам?","Si tu m'offres l'un de tes fidèles adeptes, je te donnerai quelque chose en échange. Qu'en dis-tu ?","Wenn du mir einen deiner treuen Anhänger bringst, gebe ich dir etwas im Tausch. Bist du einverstanden?","Si me das a uno de tus adeptos, te daré algo a cambio. ¿Qué te parece?","Se você me der um de seus Seguidores leais, te darei algo em troca. Você aceita?","如果你给我一只忠心的教徒，我就给你东西当回报。你同意吗？","如果你給我一隻忠心的教徒，我就給你東西當回報。你同意嗎？","네 충성스러운 추종자 중 하나를 내게 줘. 그러면 내가 대가로 무언가를 줄게. 받아들이겠어?","Jeśli dasz mi jednego ze swoich lojalnych Wyznawców, dam ci coś w zamian. Zgadzasz się?","""Conversation_NPC/Fox/Meeting1/5"", """""
"Conversation_NPC/Fox/Meeting1/Answer_A/0","Speaking: The Night
  If player gives Heart of a Heretic (quest item). The Night is going to eat it.","100","Another… satisfying deal. Here, take this. Now do excuse me - I’m <shake>FAMISHED.</shake>","今回もまた…満足いく取引だったよ。ほら、お礼だ。さて、失礼させてもらうよ――<shake>空腹で仕方ないんだ。</shake>","Ещё одна удачная сделка. Вот, бери и уходи. Мне не терпится приступить <shake>к трапезе</shake>.","Voilà qui est... satisfaisant. Tiens, c'est pour toi. Maintenant, je te prie de m'excuser... J'ai une <shake>FAIM DE LOUP</shake>.","Ein weiteres … zufriedenstellendes Geschäft. Hier, nimm das. Nun entschuldige mich – ich bin völlig <shake>AUSGEHUNGERT</shake>.","Otro fructífero trato... Toma esto. Ahora, si me disculpas, me <shake>MUERO DE HAMBRE</shake>.","Outro acordo... satisfatório. Aqui, tome. Agora me dê licença, estou <shake>FAMINTO.</shake>","这次交易……我也很满意。这个给你。我要失陪了，我<shake>快要饿死了。</shake>","這次交易……我也很滿意。這個給你。我要失陪了，我<shake>快要餓死了。</shake>","다시 한 번 만족스러운... 거래였어. 자, 받으렴. 이제 실례하지, 내가 <shake>배가 고파서.</shake>","Kolejna… satysfakcjonująca umowa. Proszę, weź to. Teraz wybacz – jestem <shake>WYGŁODNIAŁY.</shake>","""Conversation_NPC/Fox/Meeting1/Answer_A/0"", """""
"Conversation_NPC/Fox/Meeting1/Answer_B/0","Speaking: The Night
  If player refuses to give Heart of a Heretic (quest item).","100","Hmm. Perhaps you are not the Leader I thought you to be.","ふむ。予想が外れたな。どうやらおまえは、指導者の器ではなかったようだ。","Хм. Возможно, мне не стоило возлагать на тебя надежд.","Hum. J'ai toujours eu tendance à surestimer les autres...","Hm. Vielleicht bist du nicht der Anführer, für den ich dich gehalten habe.","Mmm, tal vez no seas tan genial como me pensaba.","Hmm. Talvez sua liderança não seja como eu esperava.","嗯，也许你不是我想象中的那种领袖。","嗯，也許你不是我想像中的那種領袖。","흐음. 어쩌면 내가 바라던 지도자는 아니었던 모양이네.","Hm. Może nie jesteś takim Przywódcą, jak myślałem.","""Conversation_NPC/Fox/Meeting1/Answer_B/0"", """""
"Conversation_NPC/Fox/Meeting1/Answer_B/1","Speaking: The Night
  If player refuses to give Heart of a Heretic (quest item).","100","Seek me out once should you change your mind. I'll be waiting...","考えを改めたら、わたしに会いに来るといい。わたしは待っているぞ…","Передумаешь — найди меня. Я буду ждать…","Viens me chercher lorsque tu auras retrouvé la raison. Je t'attendrai...","Such mich auf, falls du deine Meinung ändern solltest. Ich werde warten …","Búscame cuando cambies de opinión. Te estaré esperando...","Venha me ver caso mude de opinião. Estarei aguardando...","你若改变心意，就来找我吧。我等着……","你若改變心意，就來找我吧。我等著……","마음이 바뀌게 된다면 다시 날 찾아와. 기다리고 있을게...","Odwiedź mnie, jeśli zmienisz zdanie. Będę czekać...","""Conversation_NPC/Fox/Meeting1/Answer_B/1"", """""
"Conversation_NPC/Fox/Meeting2/0","Speaking: The Night
  Third encounter, only if player completed all quests so far.","100","Little Lamb! Your kind are not usually so fond of the dark, but I suppose you are unlike the rest. How fare your Followers?","小さな子羊よ！ おまえの種は普通、闇を好まないはずなんだが、おまえは特別なようだ。信者たちの調子はどうだ？","Подумать только, наши дороги снова пересеклись. Ягнята обычно боятся темноты, но ты, похоже, отличаешься от других. Как поживают твои последователи?","Pauvre Agneau ! Je croyais que ton espèce n'appréciait guère l'obscurité. Je suppose que tu n'es pas comme les autres... Comment vont tes adeptes ?","Kleines Lamm! Deine Art ist der Dunkelheit für gewöhnlich nicht so zugeneigt, aber ich denke, du bist anders als die anderen. Wie geht es deinen Anhängern?","¡Corderito! Los de tu especie no suelen acercarse tanto a la oscuridad, pero imagino que tú no eres como el resto. ¿Qué tal están tus adeptos?","Cordeirinho! O seu tipo não costuma gostar da escuridão, mas suponho você que destoe do resto. Como vão seus Seguidores?","小羊！你们这种生物通常不会这么喜欢黑暗。你的教徒过得如何？","小羊！你們這種生物通常不會這麼喜歡黑暗。你的教徒過得如何？","꼬마 양아! 너희 종족은 보통 어둠을 좋아하지 않을텐데. 네 추종자들은 어떠니?","Mały Baranku! Twój gatunek zwykle nie przepada za ciemnością, ale chyba jesteś inny niż reszta. Jak mają się twoi Wyznawcy?","""Conversation_NPC/Fox/Meeting2/0"", """""
"Conversation_NPC/Fox/Meeting2/1","Speaking: The Night","100","Do they love you? Do they fear you?","おまえを愛しているか？ おまえを怖がっているか？","Любят ли они тебя? Боятся ли?","Est-ce qu'ils te portent un amour sans limite ? Est-ce que tu leur inspires une peur terrible ?","Lieben sie dich? Fürchten sie dich?","¿Te adoran? ¿Te temen?","Eles te amam? Eles têm medo de você?","教徒爱戴你吗？畏惧你吗？","教徒愛戴你嗎？畏懼你嗎？","추종자들이 널 사랑하니? 아니면 널 두려워하니?","Czy cię kochają? Czy się ciebie boją?","""Conversation_NPC/Fox/Meeting2/1"", """""
"Conversation_NPC/Fox/Meeting2/2","Speaking: The Night","100","The nights are getting longer. The monsters grow more fierce. Tell me, how does another deal sound? I promise to make it worth your while.","最近は夜が長くなってきている。怪物どもはどんどん力を増している。さあ、もう一度取引といかないか？ お前にも利がある話だと思うが。","Ночи становятся длиннее. Чудовища становятся свирепее. Я хочу предложить тебе ещё одну сделку. Ты не пожалеешь, обещаю.","Les nuits sont de plus en plus longues, et les monstres de plus en plus féroces. Accepterais-tu de me donner un coup de patte ? Ça en vaudra la peine, je te le promets.","Die Nächte werden länger. Die Monster werden wilder. Sag, was hältst du von einem weiteren Geschäft? Ich verspreche, dass es sich für dich lohnen wird.","Las noches se hacen cada vez más largas, y los monstruos se vuelven más feroces. Dime, ¿hacemos otro trato? Te prometo que no te arrepentirás.","As noites estão ficando mais longas, e os monstros, mais selvagens. Diga-me, que tal outro acordo? Prometo que vai valer a pena.","夜越来越长了。告诉我，再谈笔交易如何？报酬肯定让你满意。","夜越來越長了。告訴我，再談筆交易如何？報酬肯定讓你滿意。","밤이 점점 길어지고 있어. 자, 거래 한 번 더 어때? 재미있을 거야.","Noce stają się coraz dłuższe. Potwory stają się bardziej dzikie. Powiedz, jak brzmi kolejna umowa? Obiecuję, że warto.","""Conversation_NPC/Fox/Meeting2/2"", """""
"Conversation_NPC/Fox/Meeting2/3","Speaking: The Night","100","I have something of great value. Something that is one of a kind. No matter how hard you look, you will not find this item again.","今、手元にとても貴重なものがあってね。この世に2つとないものだ。目を皿のようにして探しても見つからないような、貴重な代物さ。","У меня есть кое-что весьма ценное. Кое-что уникальное. Сколько ни ищи — другой такой вещицы не найдёшь.","Je possède quelque chose de grande valeur. Quelque chose d'unique en son genre. Le genre de chose que tu ne verras pas deux fois.","Ich habe etwas von großem Wert. Etwas Einzigartiges. Egal, wie sehr du danach suchen wirst, diesen Gegenstand wirst du nicht erneut finden.","Tengo algo de gran valor, algo único. Por mucho que busques, no encontrarás nada igual en ninguna otra parte.","Tenho algo de grande valor. Algo que é único. Não importa o quanto você procure, jamais encontrará um item como este.","我有一样重要的东西。不论你找得多努力，你都无法再找到这个物品。","我有一樣重要的東西。不論你找得多努力，你都無法再找到這個物品。","내게 아주 값진 것이 있어. 네가 아무리 열심히 뒤지더라도, 이 물건을 결코 다시 얻을 수는 없을 거야.","Mam coś bardzo cennego. Coś, czego nie ma nikt inny. Nieważne jak bardzo będziesz szukać, nie znajdziesz tego nigdzie indziej.","""Conversation_NPC/Fox/Meeting2/3"", """""
"Conversation_NPC/Fox/Meeting2/4","Speaking: The Night","100","And all I want in return is… well, it’s nothing really. Nothing at all.","こいつの代わりにほしいものは…まあ、大したものじゃあない。","Взамен я хочу… совсем немного. Почти ничего.","Tout ce que je désire en échange, c'est... Oh, trois fois rien, vraiment.","Und alles, was ich im Tausch will … nun, es ist eigentlich nichts. Gar nichts.","Lo único que te pido a cambio es... Bueno, nada, en realidad.","E tudo o que quero em troca é... bem, na verdade, nada. Nada mesmo.","而我想跟你交换的是……嗯，其实也没什么。","而我想跟你交換的是……嗯，其實也沒什麼。","그리고 그 대가로 내가 바라는 것은... 뭐, 큰 건 아니야.","A wszystko, czego chcę w zamian, to… właściwie nic. Nic wcale.","""Conversation_NPC/Fox/Meeting2/4"", """""
"Conversation_NPC/Fox/Meeting2/5","Speaking: The Night
  The Night will give the player a rare reward in exchange for three followers.","100","A simple choice - two measly Followers. Or if that causes you unease, then how about… half of a heart from the great Leader themselves? A fair equivalent, I think.","簡単だよ――たったの信者2人だ。それが嫌だというのなら、そうだな…偉大な指導者ご自身の心臓半分、なんてどうだ？ 取引としては釣り合っていると思うがね。","Каких-то двух жалких последователей. А если ты страшишься угрызений совести, тогда… пожертвуй мне половину своего сердца. По-моему, это равноценная замена.","Seulement deux petits adeptes. Et si cela te met trop mal à l'aise, je te propose une alternative... la moitié d'un cœur. Ça me paraît être un marché honnête...","Eine einfache Wahl – zwei mickrige Anhänger. Oder, sollte dir das Unbehagen bereiten, wie wäre es mit … einem halben Herz des großen Anführers selbst? Ein fairer Gegenwert, wie ich finde.","Nada más que dos insignificantes adeptos. Aunque si eso te pesa en la conciencia, puedes darme la mitad de uno de tus corazones. Creo que sería lo equivalente.","É uma escolha simples: três míseros Seguidores. Se isso te incomoda, então que tal... meio coração do próprio grande Líder? Nada mais justo, eu acho.","选择很简单，只要两只教徒就好。要是你觉得心有不安，那不如改成……给我伟大教主本人的半颗心？我觉得这交易相当公平。","選擇很簡單，只要兩隻教徒就好。要是你覺得心有不安，那不如改成……給我偉大教主本人的半顆心？我覺得價值相當接近。","단순한 선택이지. 별 것 아닌 추종자 둘만 줘. 마음에 안 든다면... 그 위대하신 지도자 본인이 가진 심장 중 반 개를 하나 주는 건 어때? 꽤나 공정하다고 생각하는데.","Prosty wybór – dwóch lichych Wyznawców. A jeśli to cię niepokoi, to może… pół serca samego Wielkiego Przywódcy? Uczciwa zamiana, jak myślę.","""Conversation_NPC/Fox/Meeting2/5"", """""
"Conversation_NPC/Fox/Meeting2/6","Speaking: The Night","100","Come now, a great Leader must make sacrifices. Two pathetic little Followers, or a pound of your own flesh?","偉大なる指導者は犠牲をいとわない、そうだろ？ 哀れな信者2人、もしくはおまえ自身の血肉、どちらを差し出す？","Тебе уже приходилось приносить жертвы ради блага своей паствы. Два последователя или часть тебя?","Tu as conscience que les Guides de cultes doivent parfois faire des sacrifices, bien sûr. Alors, que décideras-tu ? Deux misérables adeptes, ou un morceau de ton propre cœur ?","Komm schon, große Anführer müssen Opfer erbringen. Zwei erbärmliche kleine Anhänger oder ein Pfund deines eigenen Fleisches?","Venga, un buen líder siempre tiene que hacer sacrificios. ¿Dos míseros e insignificantes adeptos o un trozo de tu propia carne?","Ah, para! Um grande Líder precisa fazer sacrifícios. Dois Seguidores patéticos ou um quilo da sua própria carne?","认清事实吧，伟大的教主都必须有所牺牲。给我两只可怜的小教徒，还是你自己的半颗心？","認清事實吧，偉大的教主都必須有所犧牲。給我兩隻可憐的小教徒，還是你自己的一部分血肉？","자, 위대한 지도자라면 희생을 해야해. 가련한 추종자 둘이냐, 아니면 자신의 살점이냐?","No dalej, wielki Przywódca musi składać ofiary. Dwóch żałosnych Wyznawców albo ćwiartka twojej własnej skóry?","""Conversation_NPC/Fox/Meeting2/6"", """""
"Conversation_NPC/Fox/Meeting2/Answer_B/0","Speaking: The Night
  If player refuses to give three followers","100","You disappoint me, Lamb. I thought better of you.","おまえには失望したよ、子羊。もっとマシなやつだと思ってたんだが。","Ягнёнок, ты меня огорчаешь. Подумай ещё раз.","Pauvre Agneau, tu me déçois. Je te croyais capable d'accomplir de grandes choses.","Du enttäuscht mich, Lamm. Ich hatte mir mehr von dir erwartet.","Me has decepcionado, Cordero. Esperaba más de ti.","Que decepção, Cordeiro. Esperava mais de você.","小羊，我对你很失望。我以为你的能力不只如此。","小羊，我對你很失望。我以為你的能力不只如此。","실망스럽구나, 어린 양아. 더 나은 녀석일 줄 알았는데.","Rozczarowujesz mnie, Baranku. Miałem o tobie lepsze zdanie.","""Conversation_NPC/Fox/Meeting2/Answer_B/0"", """""
"Conversation_NPC/Fox/Meeting2/Answer_B/1","Speaking: The Night
  If player refuses to give three followers","100","After all, a life pledged to you is yours to do with what you wish.","いずれにせよ、おまえに忠誠を誓った命をどうするかはお前次第だからな。","Их жизни принадлежат тебе, и ты можешь поступать с ними как угодно.","Mais tu es libre de faire ce qu'il te plaît des vies qui te sont confiées.","Nun ja, mit einem Leben, das dir versprochen wurde, kannst du tun, was du willst.","Al fin y al cabo, puedes hacer lo que quieras con las vidas de aquellos que han jurado servirte.","Afinal, uma vida jurada a você é sua para fazer o que bem entender.","毕竟，你可以随意处置交到你手上的命。","畢竟，你可以隨意處置交到你手上的命。","결국 네게 목숨을 바치기로 맹세한 놈들이니 네 마음대로 해도 되건만.","W końcu życie oddane tobie należy do ciebie, by robić z nim, co chcesz.","""Conversation_NPC/Fox/Meeting2/Answer_B/1"", """""
"Conversation_NPC/Fox/Meeting2/Answer_A/0","Speaking: The Night
  If player gives three followers","100","You are a pragmatic sort. That’s what I enjoy about you, little Lamb.","おまえは現実主義者だな、小さな子羊。だからこそ、おまえを気に入ってるんだが。","За что ты мне нравишься, маленький ягнёнок, так это за свою прагматичность.","Agneau, tu es une créature pragmatique, et c'est ce que j'apprécie chez toi.","Du hast eine pragmatische Art. Das gefällt mir an dir, kleines Lamm.","Se nota que eres una criatura pragmática, y eso es lo que me gusta de ti, Corderito.","Você é uma pessoa pragmática. É isso que gosto em você, Cordeirinho.","你是很实际的那种人呢。我就是欣赏你这点，小羊。","你是很實際的那種人呢。我就是欣賞你這點，小羊。","넌 실용적인 녀석이야. 그래서 내가 널 좋아하지, 꼬마 양아.","Jesteś pragmatycznym typem. To w tobie lubię, mały Baranku.","""Conversation_NPC/Fox/Meeting2/Answer_A/0"", """""
"Conversation_NPC/Fox/Meeting2/Answer_A/1","Speaking: The Night
  If player gives three followers. The Night is going to eat them.","100","Here, as promised. Now I must take my leave... I have <shake>dinner plans.</shake>","約束の代物だ。では失礼するとするよ…<shake>ディナーの予定</shake>があるからね。","Ты получишь то, что тебе было обещано, а я наконец-то <shake>поужинаю</shake>.","Voilà comme promis. Maintenant, je vais prendre congé. J'ai... <shake>un dîner de prévu</shake>.","Hier, wie versprochen. Jetzt muss ich fort … Ich habe <shake>Pläne für das Abendessen</shake>.","Toma, lo que te prometí. Ahora he de marcharme... Mi <shake>cena me espera</shake>.","Aqui, como prometido. Agora preciso ir... Tenho <shake>planos para o jantar.</shake>","给你，我说做到做。现在我得走了……我有<shake>晚餐计划。</shake>","給你，我說做到做。現在我得走了……我有<shake>晚餐計畫。</shake>","자, 약속한 대로야. 이제 떠나줘... <shake>저녁 식사 계획</shake> 때문에 말이지.","Proszę, jak obiecałem. Teraz muszę odejść... mam <shake>plany na kolację.</shake>","""Conversation_NPC/Fox/Meeting2/Answer_A/1"", """""
"Conversation_NPC/Fox/Meeting3/0","Speaking: The Night
  Fourth encounter, only if player completed all quests so far.","100","<wave>Little Laaaaaaaaaamb!</wave>","<wave>おおい、小さな子羊よ！</wave>","<wave>Маленький ягнёно-о-ок!</wave>","<wave>Mon pauvre Agneau !</wave>","<wave>Kleines Laaaaaaamm!</wave>","<wave>¡Corderitooo!</wave>","<wave>Cordeiriiiiiiiiiinho!</wave>","<wave>小羊啊啊啊！</wave>","<wave>小羊啊啊啊！</wave>","<wave>꼬마 야아아아앙아!</wave>","<wave>Mały Baraaaaaanek!</wave>","""Conversation_NPC/Fox/Meeting3/0"", """""
"Conversation_NPC/Fox/Meeting3/1","Speaking: The Night","100","Do you feel it? We stand at a crossroads. And this will be the last time we meet - so the darkness has decreed.","おまえも感じるか？ わたしたちは交差点に立っている。そして今回が、わたしたちの最後の邂逅となる――夜闇がそのように取り決めたからな。","Чувствуешь? Мы стоим на перепутье. По воле тьмы это будет наша последняя встреча.","L'as-tu senti ? Nous nous trouvons à la croisée des chemins, c'est un moment décisif. C'est également la dernière fois que nous nous rencontrons, car l'obscurité l'a décidé.","Spürst du es? Wir stehen am Scheideweg. Und das wird das letzte Mal sein, dass wir uns sehen – so hat es die Dunkelheit bestimmt.","¿Lo sientes? Nos encontramos ante una encrucijada, pues esta será la última vez que nos veamos; así lo ha dictado la oscuridad.","Consegue sentir? Estamos em uma encruzilhada. Essa será a última vez que nos encontramos. Assim decretou a escuridão.","你感觉到了吗？我们站在交岔路口，而这将是我们最后一次见面。","你感覺到了嗎？我們站在交岔路口，而這將是我們最後一次見面。","느껴지니? 교차로에서 다시 만났어. 그리고 이번이 우리의 마지막 만남이 될 거야.","Czujesz to? Stoimy na rozdrożu. I to będzie ostatni raz, gdy się spotkamy – tak zadecydowała ciemność.","""Conversation_NPC/Fox/Meeting3/1"", """""
"Conversation_NPC/Fox/Meeting3/2","Speaking: The Night","100","One last deal.","最後の取引だ。","И последняя сделка.","Un tout dernier marché.","Ein letztes Geschäft.","Un último pacto.","Um último acordo.","最后一笔交易。","最後一筆交易。","마지막 거래지.","Ostatnia umowa.","""Conversation_NPC/Fox/Meeting3/2"", """""
"Conversation_NPC/Fox/Meeting3/3","Speaking: The Night","100","I will give you something more coveted than anything else in this world or the next. Something folks have fought for, killed for, lost their minds for - and it will be yours.","今世においても来世においても、この代物以上に喉から手が出るほど欲しくなるものはないだろう。これを巡って人々が争い、殺し合ったほどの品――それがおまえのものになる。","Я дам тебе то, на что охотятся и в мире живых, и в мире мёртвых. То, за что платят слезами, кровью, безумием… То, что тебе очень хотелось бы получить.","Je te donnerai une chose plus précieuse que la plus précieuse de tes possessions. Quelque chose pour lequel des créatures se sont battues, ont tué, ont perdu la tête... Et c'est toi qui en hériteras.","Ich werde dir etwas geben, das begehrter ist als alles andere in dieser oder der nächsten Welt. Etwas, für das die Menschen gekämpft und getötet haben, für das sie ihren Verstand verloren haben – und es wird dir gehören.","Te daré algo que se ha codiciado a lo largo de la historia, en este mundo y el siguiente. Algo por lo que las criaturas han luchado, han matado y han perdido la cabeza. Y será solo tuyo.","Darei a você algo mais desejado do que qualquer coisa neste mundo ou no próximo. Algo pelo qual as pessoas lutaram, mataram e surtaram. E será todo seu.","我会给你这个世界或死后世界都令人觊觎无比的东西，无数人曾为此争斗杀生。","我會給你這個世界或死後世界都令人覬覦無比的東西，無數人曾為此爭鬥殺生。","이 세상 혹은 내세에서도 가장 값진 무언가를 네게 줄게. 이걸 위해 사람들은 싸우고, 죽여댔지.","Dam ci coś cenniejszego niż wszystko na tym świecie i następnym. Coś, o co ludzie walczyli, zabijali się, tracili rozum – a teraz będzie twoje.","""Conversation_NPC/Fox/Meeting3/3"", """""
"Conversation_NPC/Fox/Meeting3/4","Speaking: The Night","100","In exchange I want only one thing:","こいつの代わりに、わたしが求めるのはただ1つ。","Взамен ты отдашь мне…","Je ne désire qu'une chose en échange :","Im Austausch will ich nur eines:","A cambio solo quiero a...","Em troca, quero apenas uma coisa:","我只要求你给我一样东西：","我只要求你給我一樣東西：","한 가지만 내게 준다면 말이야.","W zamian chcę tylko jednej rzeczy:","""Conversation_NPC/Fox/Meeting3/4"", """""
"Conversation_NPC/Fox/Meeting3/5","Speaking: The Night
  The Night will give the player an incredibly rare reward in exchange for Ratau","100","Ratau.","ネズムだ。","Крысау.","Ratau.","Rattau.","Ratau.","Ratau.","拉陶。","拉陶鼠。","바로 라타우지.","Ratau.","""Conversation_NPC/Fox/Meeting3/5"", """""
"Conversation_NPC/Fox/Meeting3/6","Speaking: The Night","100","The rat is old, and of no use to you or anyone else. Give Ratau’s death meaning...","あの年寄りネズミは、おまえにとっても誰にとっても、なんの価値もない存在だ。ネズムの死に意味を持たせてやれるのはおまえだけだ…","Он уже стар. От него никакой пользы ни тебе, ни этим землям. Пусть его смерть послужит благой цели…","Le rat est vieux et il n'est plus d'aucune utilité. Donne un sens à sa mort...","Die Ratte ist alt und niemandem mehr von Nutzen – weder dir noch irgendjemandem sonst. Gib Rattaus Tod eine Bedeutung …","Esa rata ya está vieja y no te sirve de nada, ni a ti ni a nadie. Dale un propósito a la muerte de Ratau...","Aquele rato está velho, e não serve para mais nada. Dê um sentido à morte de Ratau.","那只老鼠老了，对你或任何人都没用处。让拉陶死得有意义吧……","那隻老鼠老了，對你或任何人都沒用處。讓拉陶鼠死得有意義吧……","그 늙은 쥐는 더 이상 네게 필요가 없어. 라타우에게 죽음을 내개 줘...","Szczur jest stary i nieprzydatny tobie ani nikomu innemu. Nadaj śmierci Ratau znaczenie...","""Conversation_NPC/Fox/Meeting3/6"", """""
"Conversation_NPC/Fox/Meeting3/7","Speaking: The Night","100","Give Ratau’s death to me. What say you?","ネズムの命をわたしにくれ。さあ、おまえの答えは？","Я прошу у тебя жизнь Крысау. Подходят ли тебе такие условия?","Sacrifie Ratau et donne-moi son âme. Accepteras-tu ce marché ?","Schenke mir Rattaus Tod. Was sagst du?","Entrégame la muerte de Ratau. ¿Qué me dices?","Dê a morte de Ratau para mim. O que me diz?","把我来见证拉陶的死亡，你觉得如何？","把拉陶鼠的死亡給我，你覺得如何？","내게 라타우의 죽음을 줘. 어때?","Podaruj mi śmierć Ratau. Co na to powiesz?","""Conversation_NPC/Fox/Meeting3/7"", """""
"Conversation_NPC/Fox/Meeting3/Answer_B/0","Speaking: The Night
  If player refuses to give Ratau over","100","I have come to like you, Little Lamb. So I shall not take your refusal for the insult that it is.","おまえのことは気に入ってるんだ、小さな子羊。だからわたしの申し出を断ったこと、侮辱としては受け取らないこととしよう。","Будем считать, что у тебя не было намерения меня оскорбить.","Je t'apprécie, mon pauvre Agneau. Je ne vais donc pas m'offusquer de cet affront que tu me fais là.","Ich habe begonnen, dich zu mögen, kleines Lamm. Darum werde ich deine Weigerung nicht als die Beleidigung betrachten, die sie ist.","Te he cogido cariño, Corderito, así que no me tomaré tu rechazo como el insulto que es.","Comecei a gostar de você, Cordeirinho. Então não tomarei sua rejeição como o insulto que é.","我学会欣赏你了，小羊。因此，我不会把你拒绝我当成是一种羞辱。","我學會欣賞你了，小羊。因此，我不會把你拒絕我當成是一種羞辱。","난 네가 마음에 들어, 어린 양아. 그러니 네 거절에 담긴 모욕을 넘어가주지.","Polubiłem cię, Mały Baranku. Nie wezmę twojej odmowy za zniewagę.","""Conversation_NPC/Fox/Meeting3/Answer_B/0"", """""
